CLOCK_REF  mono_ns=36352901455216  real_ns=1787630976728983784
WRITE  gpa=0x0000003ce5a49000  ts=36353299164891
WRITE  gpa=0x0000000122bdd000  ts=36353299168761
WRITE  gpa=0x0000000100d61000  ts=36353299172231
WRITE  gpa=0x0000000100322000  ts=36353299175891
WRITE  gpa=0x0000000100321000  ts=36353299178611
WRITE  gpa=0x0000000100db0000  ts=36353299181131
WRITE  gpa=0x00000001177b6000  ts=36353299184991
WRITE  gpa=0x0000000117715000  ts=36353299189551
WRITE  gpa=0x0000003f7fc21000  ts=36353299192841
WRITE  gpa=0x0000003ce635e000  ts=36353299196531
WRITE  gpa=0x0000003ce5c0c000  ts=36353299202251
WRITE  gpa=0x0000000122bea000  ts=36353299205630
WRITE  gpa=0x0000003ce624c000  ts=36353299210270
WRITE  gpa=0x0000003f7fc37000  ts=36353299214120
WRITE  gpa=0x00000003b67d4000  ts=36353299217800
WRITE  gpa=0x00000003b67fa000  ts=36353299220800
WRITE  gpa=0x000000011f36b000  ts=36353299223720
WRITE  gpa=0x0000003ce5a03000  ts=36353299226290
WRITE  gpa=0x0000003ce5a07000  ts=36353299229510
WRITE  gpa=0x0000003ce61d5000  ts=36353299232140
WRITE  gpa=0x0000003ce61d3000  ts=36353299234420
WRITE  gpa=0x0000003ce5bd0000  ts=36353299237890
WRITE  gpa=0x000000011ee32000  ts=36353299240920
WRITE  gpa=0x0000003ce5e0c000  ts=36353299244090
WRITE  gpa=0x000000011f23d000  ts=36353299254570
WRITE  gpa=0x000000011f3c0000  ts=36353299258400
WRITE  gpa=0x000000011ef1e000  ts=36353299262190
WRITE  gpa=0x0000003f7fc00000  ts=36353299266340
WRITE  gpa=0x0000003f7fc0b000  ts=36353299269050
WRITE  gpa=0x0000000102986000  ts=36353299274950
WRITE  gpa=0x0000000102985000  ts=36353299278070
WRITE  gpa=0x000000010296c000  ts=36353299281110
WRITE  gpa=0x000000012652e000  ts=36353299285880
WRITE  gpa=0x0000003f7fc19000  ts=36353299290170
WRITE  gpa=0x0000003f7fc18000  ts=36353299293570
