Loading UNet_training_v5.json ...
  .out_v5.list index count : 2608
  v5.json matched samples  : 2608
  RealListDataset: 2348 files loaded

UNetGeneratorR | Device: cpu
  json_train : 2347 (matched, augment_sparsity)
  real_ds    : 2348 (.out_v5.list, real, val 제외)
  train total: 4695
  val        : 261 (matched, fixed sparsity)
G params: 1,024,993  D params: 34,593
--------------------------------------------------------------------------------
[ 91/100]  D:0.6497  G:0.0996  mse:0.02121  SSIM:0.8564
[ 92/100]  D:0.6498  G:0.0995  mse:0.02125  SSIM:0.8564
[ 93/100]  D:0.6495  G:0.0991  mse:0.02114  SSIM:0.8568
[ 94/100]  D:0.6488  G:0.0992  mse:0.02112  SSIM:0.8570
[ 95/100]  D:0.6492  G:0.0990  mse:0.02129  SSIM:0.8563
[ 96/100]  D:0.6503  G:0.0991  mse:0.02121  SSIM:0.8563
[ 97/100]  D:0.6496  G:0.0990  mse:0.02125  SSIM:0.8563
[ 98/100]  D:0.6496  G:0.0988  mse:0.02131  SSIM:0.8559
[ 99/100]  D:0.6499  G:0.0987  mse:0.02122  SSIM:0.8562
[100/100]  D:0.6493  G:0.0989  mse:0.02120  SSIM:0.8563

Done → unet_gan_generator_v8r2.pth  (best combined: 0.23430)
Saved → train_v8r2_curves.pdf
